pitch_type,release_speed,release_pos_x,release_pos_z,player_name,zone,p_throws,bb_type,game_year,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,release_pos_y,height,weight,age,weight_(oz),circumference_(in),avg_seam_height,avg_ccor,avg_ds
FF,93.7,-2.3013,5.8518,Bryce Harper,8.0,R,fly_ball,2015,-0.910725,1.742266667,-0.187,1.7380000000000002,7.001,-135.991,-7.71,-10.482999999999999,30.241,-11.975,3.16,1.45,414.0,104.5,32.149,92.73899999999999,2239.0,6.0520000000000005,54.4464,75,220,25,5.120124999999999,9.107916666666666,0.040501666666666665,0.4913333333333332,12740.875
FF,79.1,-2.6178,5.9503,Bryce Harper,5.0,R,line_drive,2017,-0.6111,1.5574,-0.2194,2.4732,6.3524,-116.3133,-3.8259,-6.5893,20.4152,-17.7772,3.19,1.49,416.0,104.4,23.699,73.399,1747.0,5.8313,54.6663,75,220,25,5.104863,9.08,0.038,0.476463,12926.0
FF,93.3,2.4074,5.5278,Bryce Harper,1.0,L,line_drive,2015,0.268016667,1.6362,-0.653,2.918,-8.613999999999999,-135.61,-4.1610000000000005,5.263999999999999,32.849000000000004,-13.657,3.16,1.43,379.0,104.2,23.429000000000002,91.96799999999999,2225.0,5.983,54.5164,75,220,25,5.120124999999999,9.107916666666666,0.040501666666666665,0.4913333333333332,12740.875
SL,86.1,2.1297,6.1074,Bryce Harper,4.0,L,fly_ball,2015,-0.5405416670000001,0.278833333,-0.7290000000000001,2.552,-5.5489999999999995,-125.301,-2.0469999999999997,-4.801,19.984,-31.212,3.16,1.41,436.0,104.2,25.818,86.38799999999998,699.0,6.115,54.3848,75,220,25,5.120124999999999,9.107916666666666,0.040501666666666665,0.4913333333333332,12740.875
SL,82.8,-2.2909,5.9654,Bryce Harper,8.0,R,fly_ball,2017,-0.2163,0.2914,-0.1704,2.2402,5.2286,-120.2526,-2.5204,-3.1361,24.4285,-29.1049,3.865,1.601,417.0,104.0,30.048000000000002,82.23,2125.0,6.1129999999999995,54.3842,75,220,25,5.104863,9.08,0.038,0.476463,12926.0
FT,93.0,0.8398,5.8372,Bryce Harper,1.0,L,line_drive,2016,0.6103666670000001,1.432666667,-0.42200000000000004,2.925,-5.212999999999999,-135.286,-4.56,9.79,31.28,-16.262,3.09,1.5,378.0,103.9,23.896,91.795,2276.0,5.805,54.6947,75,220,25,5.122499999999999,9.079,0.03843200000000002,0.4941000000000001,12926.4
FF,88.0,-2.4741,3.5526,Bryce Harper,11.0,R,fly_ball,2017,-2.0121,0.9522,-0.2714,3.665,9.5788,-127.7859,4.4212,-24.1761,25.9665,-22.7535,3.17,1.49,394.0,103.9,24.68,88.31299999999996,2442.0,6.567,53.9308,75,220,25,5.104863,9.08,0.038,0.476463,12926.0
FT,89.5,-1.6623,5.8084,Bryce Harper,4.0,R,fly_ball,2015,-1.221066667,1.2047666670000001,-0.402,2.0469999999999997,4.58,-130.156,-4.7860000000000005,-13.455,27.357,-20.079,3.16,1.34,411.0,103.7,26.84,87.69,2232.0,5.402,55.0996,75,220,25,5.120124999999999,9.107916666666666,0.040501666666666665,0.4913333333333332,12740.875
SL,84.9,-3.0939,6.3595,Bryce Harper,14.0,R,line_drive,2015,0.2541,0.17706666699999998,0.046,0.988,5.2120000000000015,-123.368,-5.377999999999999,4.346,19.788,-32.357,3.17,1.4,404.0,103.6,19.776,84.425,2181.333333333333,5.827000000000001,54.6743,75,220,25,5.120124999999999,9.107916666666666,0.040501666666666665,0.4913333333333332,12740.875
SI,90.3,-0.8027,5.9934,Bryce Harper,5.0,R,fly_ball,2015,-1.244725,1.553066667,-0.19699999999999998,2.5140000000000002,3.852,-131.35299999999998,-5.71,-13.876,30.054000000000002,-15.753,3.13,1.34,363.0,103.5,24.866999999999997,89.44200000000002,2051.0,6.055,54.4424,75,220,25,5.120124999999999,9.107916666666666,0.040501666666666665,0.4913333333333332,12740.875
